Using device: cuda

============================================================
  Dataset: ASAP
  Debiasing: GRL (target=gender)
============================================================
  Demo encoding (gender): {'M': 0, 'F': 1}
  Train: 15560 | Dev: 1729 | Test: 7411
  Tokenizing 15560 essays...
  Tokenization complete.
  Tokenizing 1729 essays...
  Tokenization complete.
  Tokenizing 7411 essays...
  Tokenization complete.
  Batch 0/3890 | Loss: 7.2997
  Batch 100/3890 | Loss: 0.4775
  Batch 200/3890 | Loss: 0.8165
  Batch 300/3890 | Loss: 0.4667
  Batch 400/3890 | Loss: 0.3761
  Batch 500/3890 | Loss: 0.2342
  Batch 600/3890 | Loss: 0.0622
  Batch 700/3890 | Loss: 0.0429
  Batch 800/3890 | Loss: 0.1361
  Batch 900/3890 | Loss: 1.1067
  Batch 1000/3890 | Loss: 0.2845
  Batch 1100/3890 | Loss: 0.6371
  Batch 1200/3890 | Loss: 0.5715
  Batch 1300/3890 | Loss: 0.7527
  Batch 1400/3890 | Loss: 0.1404
  Batch 1500/3890 | Loss: 0.4588
  Batch 1600/3890 | Loss: 0.2405
  Batch 1700/3890 | Loss: 0.0357
  Batch 1800/3890 | Loss: 0.1027
  Batch 1900/3890 | Loss: 1.4270
  Batch 2000/3890 | Loss: 0.4646
  Batch 2100/3890 | Loss: 0.0360
  Batch 2200/3890 | Loss: 0.9130
  Batch 2300/3890 | Loss: 0.3886
  Batch 2400/3890 | Loss: 0.4817
  Batch 2500/3890 | Loss: 0.1593
  Batch 2600/3890 | Loss: 0.4907
  Batch 2700/3890 | Loss: 0.1481
  Batch 2800/3890 | Loss: 0.3899
  Batch 2900/3890 | Loss: 0.3475
  Batch 3000/3890 | Loss: 0.3643
  Batch 3100/3890 | Loss: 0.3551
  Batch 3200/3890 | Loss: 0.1596
  Batch 3300/3890 | Loss: 0.4464
  Batch 3400/3890 | Loss: 0.7805
  Batch 3500/3890 | Loss: 0.4555
  Batch 3600/3890 | Loss: 0.7517
  Batch 3700/3890 | Loss: 0.1423
  Batch 3800/3890 | Loss: 0.2921
Epoch 01 | Train Loss: 1942.4574 | Dev Loss: 138.0564 | Dev QWK: 0.7786
  --> Saved best model.
  Batch 0/3890 | Loss: 0.0980
  Batch 100/3890 | Loss: 0.8601
  Batch 200/3890 | Loss: 0.6343
  Batch 300/3890 | Loss: 0.4894
  Batch 400/3890 | Loss: 0.4529
  Batch 500/3890 | Loss: 0.4230
  Batch 600/3890 | Loss: 0.1564
  Batch 700/3890 | Loss: 0.2292
  Batch 800/3890 | Loss: 0.1933
  Batch 900/3890 | Loss: 0.0474
  Batch 1000/3890 | Loss: 0.1941
  Batch 1100/3890 | Loss: 0.3182
  Batch 1200/3890 | Loss: 0.1512
  Batch 1300/3890 | Loss: 0.5512
  Batch 1400/3890 | Loss: 0.2579
  Batch 1500/3890 | Loss: 0.2044
  Batch 1600/3890 | Loss: 0.3655
  Batch 1700/3890 | Loss: 0.6058
  Batch 1800/3890 | Loss: 0.1653
  Batch 1900/3890 | Loss: 0.3526
  Batch 2000/3890 | Loss: 0.3891
  Batch 2100/3890 | Loss: 0.5428
  Batch 2200/3890 | Loss: 0.2717
  Batch 2300/3890 | Loss: 0.6272
  Batch 2400/3890 | Loss: 0.0595
  Batch 2500/3890 | Loss: 0.1223
  Batch 2600/3890 | Loss: 0.1104
  Batch 2700/3890 | Loss: 0.4824
  Batch 2800/3890 | Loss: 0.0337
  Batch 2900/3890 | Loss: 0.1344
  Batch 3000/3890 | Loss: 0.2656
  Batch 3100/3890 | Loss: 0.4925
  Batch 3200/3890 | Loss: 0.1340
  Batch 3300/3890 | Loss: 0.1288
  Batch 3400/3890 | Loss: 0.1361
  Batch 3500/3890 | Loss: 0.6058
  Batch 3600/3890 | Loss: 0.0768
