Using device: cuda

============================================================
  Dataset: ASAP
============================================================
  Train: 15576 | Dev: 1731 | Test: 7421
  Tokenizing 15576 essays...
  Tokenization complete.
  Tokenizing 1731 essays...
  Tokenization complete.
  Tokenizing 7421 essays...
  Tokenization complete.
  Batch 0/3894 | Loss: 17.6040
  Batch 100/3894 | Loss: 0.5007
  Batch 200/3894 | Loss: 0.9934
  Batch 300/3894 | Loss: 0.1690
  Batch 400/3894 | Loss: 0.0965
  Batch 500/3894 | Loss: 0.7950
  Batch 600/3894 | Loss: 0.3675
  Batch 700/3894 | Loss: 0.1099
  Batch 800/3894 | Loss: 0.2737
  Batch 900/3894 | Loss: 0.1220
  Batch 1000/3894 | Loss: 0.2986
  Batch 1100/3894 | Loss: 0.2897
  Batch 1200/3894 | Loss: 0.5607
  Batch 1300/3894 | Loss: 0.1420
  Batch 1400/3894 | Loss: 0.1458
  Batch 1500/3894 | Loss: 0.7207
  Batch 1600/3894 | Loss: 1.4175
  Batch 1700/3894 | Loss: 0.1034
  Batch 1800/3894 | Loss: 0.1352
  Batch 1900/3894 | Loss: 0.5751
  Batch 2000/3894 | Loss: 0.1513
  Batch 2100/3894 | Loss: 0.9304
  Batch 2200/3894 | Loss: 0.4766
  Batch 2300/3894 | Loss: 0.7806
  Batch 2400/3894 | Loss: 0.1718
  Batch 2500/3894 | Loss: 0.6213
  Batch 2600/3894 | Loss: 0.5516
  Batch 2700/3894 | Loss: 0.3007
  Batch 2800/3894 | Loss: 0.8621
  Batch 2900/3894 | Loss: 0.1950
  Batch 3000/3894 | Loss: 1.1869
  Batch 3100/3894 | Loss: 0.4602
  Batch 3200/3894 | Loss: 0.3322
  Batch 3300/3894 | Loss: 0.5984
  Batch 3400/3894 | Loss: 0.4544
  Batch 3500/3894 | Loss: 0.3376
  Batch 3600/3894 | Loss: 0.1772
  Batch 3700/3894 | Loss: 0.1159
  Batch 3800/3894 | Loss: 0.0946
Epoch 01 | Train Loss: 1878.8315 | Dev Loss: 138.5887 | Dev QWK: 0.8083
  --> Saved best model.
  Batch 0/3894 | Loss: 0.1608
  Batch 100/3894 | Loss: 0.2520
  Batch 200/3894 | Loss: 0.0918
  Batch 300/3894 | Loss: 0.2769
  Batch 400/3894 | Loss: 0.0691
  Batch 500/3894 | Loss: 0.5171
  Batch 600/3894 | Loss: 0.2342
  Batch 700/3894 | Loss: 0.3243
  Batch 800/3894 | Loss: 1.0608
  Batch 900/3894 | Loss: 0.2183
  Batch 1000/3894 | Loss: 0.5254
  Batch 1100/3894 | Loss: 0.1042
  Batch 1200/3894 | Loss: 0.3132
  Batch 1300/3894 | Loss: 0.2087
  Batch 1400/3894 | Loss: 0.4533
  Batch 1500/3894 | Loss: 0.0620
  Batch 1600/3894 | Loss: 0.2635
  Batch 1700/3894 | Loss: 0.2367
  Batch 1800/3894 | Loss: 0.5811
  Batch 1900/3894 | Loss: 0.3548
  Batch 2000/3894 | Loss: 0.1335
  Batch 2100/3894 | Loss: 0.4660
  Batch 2200/3894 | Loss: 0.3454
  Batch 2300/3894 | Loss: 0.1533
  Batch 2400/3894 | Loss: 0.4445
  Batch 2500/3894 | Loss: 0.4748
  Batch 2600/3894 | Loss: 0.1588
  Batch 2700/3894 | Loss: 0.1113
  Batch 2800/3894 | Loss: 0.4760
  Batch 2900/3894 | Loss: 0.0436
  Batch 3000/3894 | Loss: 0.4102
  Batch 3100/3894 | Loss: 0.3646
  Batch 3200/3894 | Loss: 0.4743
  Batch 3300/3894 | Loss: 0.4775
  Batch 3400/3894 | Loss: 0.0654
  Batch 3500/3894 | Loss: 0.4660
  Batch 3600/3894 | Loss: 0.3154
  Batch 3700/3894 | Loss: 0.1296
  Batch 3800/3894 | Loss: 0.3865
Epoch 02 | Train Loss: 1233.7228 | Dev Loss: 137.5744 | Dev QWK: 0.7924
  --> Saved best model.
  Batch 0/3894 | Loss: 0.5035
  Batch 100/3894 | Loss: 0.3333
  Batch 200/3894 | Loss: 0.1629
  Batch 300/3894 | Loss: 0.0861
  Batch 400/3894 | Loss: 0.1059
  Batch 500/3894 | Loss: 0.1659
  Batch 600/3894 | Loss: 0.1013
  Batch 700/3894 | Loss: 0.2220
  Batch 800/3894 | Loss: 0.2991
  Batch 900/3894 | Loss: 0.1314
  Batch 1000/3894 | Loss: 0.0519
  Batch 1100/3894 | Loss: 0.5094
  Batch 1200/3894 | Loss: 0.4392
  Batch 1300/3894 | Loss: 0.0907
  Batch 1400/3894 | Loss: 0.3925
  Batch 1500/3894 | Loss: 0.1070
  Batch 1600/3894 | Loss: 0.3585
  Batch 1700/3894 | Loss: 0.1686
  Batch 1800/3894 | Loss: 0.1100
  Batch 1900/3894 | Loss: 0.1489
  Batch 2000/3894 | Loss: 0.1524
  Batch 2100/3894 | Loss: 0.0637
  Batch 2200/3894 | Loss: 0.5291
  Batch 2300/3894 | Loss: 0.2789
  Batch 2400/3894 | Loss: 0.0847
  Batch 2500/3894 | Loss: 0.4070
  Batch 2600/3894 | Loss: 0.0696
  Batch 2700/3894 | Loss: 0.2880
  Batch 2800/3894 | Loss: 0.6578
  Batch 2900/3894 | Loss: 0.1090
  Batch 3000/3894 | Loss: 0.1845
  Batch 3100/3894 | Loss: 0.0823
  Batch 3200/3894 | Loss: 0.0633
  Batch 3300/3894 | Loss: 1.0130
  Batch 3400/3894 | Loss: 0.2242
  Batch 3500/3894 | Loss: 0.1553
  Batch 3600/3894 | Loss: 0.0404
  Batch 3700/3894 | Loss: 0.2518
  Batch 3800/3894 | Loss: 0.1608
Epoch 03 | Train Loss: 1061.8876 | Dev Loss: 151.0799 | Dev QWK: 0.8163
  Batch 0/3894 | Loss: 0.1960
  Batch 100/3894 | Loss: 0.0224
  Batch 200/3894 | Loss: 0.3420
  Batch 300/3894 | Loss: 0.1568
  Batch 400/3894 | Loss: 0.1255
  Batch 500/3894 | Loss: 0.0472
  Batch 600/3894 | Loss: 0.1861
  Batch 700/3894 | Loss: 0.0944
  Batch 800/3894 | Loss: 0.1422
  Batch 900/3894 | Loss: 0.2958
  Batch 1000/3894 | Loss: 0.0584
  Batch 1100/3894 | Loss: 0.2048
  Batch 1200/3894 | Loss: 0.1922
  Batch 1300/3894 | Loss: 0.0838
  Batch 1400/3894 | Loss: 0.1478
  Batch 1500/3894 | Loss: 0.5571
  Batch 1600/3894 | Loss: 0.1130
  Batch 1700/3894 | Loss: 0.0826
  Batch 1800/3894 | Loss: 0.4582
  Batch 1900/3894 | Loss: 0.1176
  Batch 2000/3894 | Loss: 0.2446
  Batch 2100/3894 | Loss: 0.1674
  Batch 2200/3894 | Loss: 0.1830
  Batch 2300/3894 | Loss: 0.0133
  Batch 2400/3894 | Loss: 0.0126
  Batch 2500/3894 | Loss: 0.4367
  Batch 2600/3894 | Loss: 0.2565
  Batch 2700/3894 | Loss: 0.0262
  Batch 2800/3894 | Loss: 0.0480
  Batch 2900/3894 | Loss: 0.2230
  Batch 3000/3894 | Loss: 0.2503
  Batch 3100/3894 | Loss: 0.2392
  Batch 3200/3894 | Loss: 0.1100
  Batch 3300/3894 | Loss: 0.1269
  Batch 3400/3894 | Loss: 0.2889
  Batch 3500/3894 | Loss: 0.3429
  Batch 3600/3894 | Loss: 0.1047
  Batch 3700/3894 | Loss: 0.1661
  Batch 3800/3894 | Loss: 0.3525
Epoch 04 | Train Loss: 925.7570 | Dev Loss: 128.1127 | Dev QWK: 0.8177
  --> Saved best model.
  Batch 0/3894 | Loss: 0.0512
  Batch 100/3894 | Loss: 0.1227
  Batch 200/3894 | Loss: 0.0644
  Batch 300/3894 | Loss: 0.1569
  Batch 400/3894 | Loss: 0.1645
  Batch 500/3894 | Loss: 0.2200
  Batch 600/3894 | Loss: 0.0883
  Batch 700/3894 | Loss: 0.2022
  Batch 800/3894 | Loss: 0.0890
  Batch 900/3894 | Loss: 0.1898
  Batch 1000/3894 | Loss: 0.1131
  Batch 1100/3894 | Loss: 0.1270
  Batch 1200/3894 | Loss: 0.0502
  Batch 1300/3894 | Loss: 0.1966
  Batch 1400/3894 | Loss: 0.4876
  Batch 1500/3894 | Loss: 0.0219
  Batch 1600/3894 | Loss: 0.0244
  Batch 1700/3894 | Loss: 0.0801
  Batch 1800/3894 | Loss: 0.1992
  Batch 1900/3894 | Loss: 0.2074
  Batch 2000/3894 | Loss: 0.2228
  Batch 2100/3894 | Loss: 0.5413
  Batch 2200/3894 | Loss: 0.5157
  Batch 2300/3894 | Loss: 0.0912
  Batch 2400/3894 | Loss: 0.0323
  Batch 2500/3894 | Loss: 0.3030
  Batch 2600/3894 | Loss: 0.0984
  Batch 2700/3894 | Loss: 0.4023
  Batch 2800/3894 | Loss: 0.5257
  Batch 2900/3894 | Loss: 0.1670
  Batch 3000/3894 | Loss: 0.2876
  Batch 3100/3894 | Loss: 0.3077
  Batch 3200/3894 | Loss: 0.1325
  Batch 3300/3894 | Loss: 0.0900
  Batch 3400/3894 | Loss: 0.2343
  Batch 3500/3894 | Loss: 0.1219
  Batch 3600/3894 | Loss: 0.0716
  Batch 3700/3894 | Loss: 0.1048
  Batch 3800/3894 | Loss: 0.2341
Epoch 05 | Train Loss: 763.0455 | Dev Loss: 169.0486 | Dev QWK: 0.7851
  Batch 0/3894 | Loss: 0.2274
  Batch 100/3894 | Loss: 0.0416
  Batch 200/3894 | Loss: 0.3795
  Batch 300/3894 | Loss: 0.3313
  Batch 400/3894 | Loss: 0.3354
  Batch 500/3894 | Loss: 0.0080
  Batch 600/3894 | Loss: 0.0343
  Batch 700/3894 | Loss: 0.0867
  Batch 800/3894 | Loss: 0.1835
  Batch 900/3894 | Loss: 0.0364
  Batch 1000/3894 | Loss: 0.1166
  Batch 1100/3894 | Loss: 0.0590
  Batch 1200/3894 | Loss: 0.3350
  Batch 1300/3894 | Loss: 0.1324
  Batch 1400/3894 | Loss: 0.1998
  Batch 1500/3894 | Loss: 0.0796
  Batch 1600/3894 | Loss: 0.1722
  Batch 1700/3894 | Loss: 0.4662
  Batch 1800/3894 | Loss: 0.0476
  Batch 1900/3894 | Loss: 0.2208
  Batch 2000/3894 | Loss: 0.0666
  Batch 2100/3894 | Loss: 0.1143
  Batch 2200/3894 | Loss: 0.0346
  Batch 2300/3894 | Loss: 0.1473
  Batch 2400/3894 | Loss: 0.1504
  Batch 2500/3894 | Loss: 0.2280
  Batch 2600/3894 | Loss: 0.1620
  Batch 2700/3894 | Loss: 0.2960
  Batch 2800/3894 | Loss: 0.0613
  Batch 2900/3894 | Loss: 0.1514
  Batch 3000/3894 | Loss: 0.0139
  Batch 3100/3894 | Loss: 0.1569
  Batch 3200/3894 | Loss: 0.2623
  Batch 3300/3894 | Loss: 0.1036
  Batch 3400/3894 | Loss: 0.5249
  Batch 3500/3894 | Loss: 0.0317
  Batch 3600/3894 | Loss: 0.0223
  Batch 3700/3894 | Loss: 0.0334
  Batch 3800/3894 | Loss: 0.1760
Epoch 06 | Train Loss: 645.3765 | Dev Loss: 147.3825 | Dev QWK: 0.7956
  Batch 0/3894 | Loss: 0.2787
  Batch 100/3894 | Loss: 0.0419
  Batch 200/3894 | Loss: 0.1132
  Batch 300/3894 | Loss: 0.0435
  Batch 400/3894 | Loss: 0.0883
  Batch 500/3894 | Loss: 0.0618
  Batch 600/3894 | Loss: 0.0088
  Batch 700/3894 | Loss: 0.1810
  Batch 800/3894 | Loss: 0.0485
  Batch 900/3894 | Loss: 0.1459
  Batch 1000/3894 | Loss: 0.0113
  Batch 1100/3894 | Loss: 0.1253
  Batch 1200/3894 | Loss: 0.0450
  Batch 1300/3894 | Loss: 0.0756
  Batch 1400/3894 | Loss: 0.1541
  Batch 1500/3894 | Loss: 0.0510
  Batch 1600/3894 | Loss: 0.1732
  Batch 1700/3894 | Loss: 0.0623
  Batch 1800/3894 | Loss: 0.1920
  Batch 1900/3894 | Loss: 0.2276
  Batch 2000/3894 | Loss: 0.0742
  Batch 2100/3894 | Loss: 0.1805
  Batch 2200/3894 | Loss: 0.1835
  Batch 2300/3894 | Loss: 0.1027
  Batch 2400/3894 | Loss: 0.1006
  Batch 2500/3894 | Loss: 0.0183
  Batch 2600/3894 | Loss: 0.2453
  Batch 2700/3894 | Loss: 0.2033
  Batch 2800/3894 | Loss: 0.2599
  Batch 2900/3894 | Loss: 0.1654
  Batch 3000/3894 | Loss: 0.0324
  Batch 3100/3894 | Loss: 0.1337
  Batch 3200/3894 | Loss: 0.1659
  Batch 3300/3894 | Loss: 0.2464
  Batch 3400/3894 | Loss: 0.0701
  Batch 3500/3894 | Loss: 0.0521
  Batch 3600/3894 | Loss: 0.3676
  Batch 3700/3894 | Loss: 0.0375
  Batch 3800/3894 | Loss: 0.0692
Epoch 07 | Train Loss: 509.9337 | Dev Loss: 150.3003 | Dev QWK: 0.7891
Early stopping at epoch 7.

--- ASAP Test Results ---
  MSE:             549.2692
  QWK:             0.8092
  Exact Agreement: 0.6651
