Category,Reference Group,Focal Group,Z-Score_Base,Z-Score_Proj,Z-Score_Diff,Abs_Z_Reduction,Base_QWK,Proj_QWK,Base_Z_Var,Proj_Z_Var
gender,M,F,1.465,-0.096,-1.5610000000000002,1.369,0.837,0.0568,14.6406,0.0629
race_ethnicity,Black/African American,White,1.216,0.005,-1.211,1.211,0.837,0.0568,14.6406,0.0629
race_ethnicity,Black/African American,Hispanic/Latino,-1.463,0.082,1.5450000000000002,1.381,0.837,0.0568,14.6406,0.0629
race_ethnicity,Black/African American,Two or more races/Other,0.175,-0.003,-0.178,0.172,0.837,0.0568,14.6406,0.0629
race_ethnicity,Black/African American,Asian/Pacific Islander,4.414,0.066,-4.348,4.348,0.837,0.0568,14.6406,0.0629
race_ethnicity,Black/African American,American Indian/Alaskan Native,0.062,0.004,-0.057999999999999996,0.058,0.837,0.0568,14.6406,0.0629
ell_status,No,Yes,-3.863,0.181,4.044,3.683,0.837,0.0568,14.6406,0.0629
ell_status,No,,-3.699,-0.721,2.9779999999999998,2.977,0.837,0.0568,14.6406,0.0629
economically_disadvantaged,Not economically disadvantaged,Economically disadvantaged,-10.402,-0.342,10.059999999999999,10.06,0.837,0.0568,14.6406,0.0629
student_disability_status,Not identified as having disability,Identified as having disability,-2.14,0.035,2.1750000000000003,2.105,0.837,0.0568,14.6406,0.0629
