Category,Reference Group,Focal Group,Z-Score_Base,Z-Score_Proj,Z-Score_Diff,Abs_Z_Reduction,Base_QWK,Proj_QWK,Base_Z_Var,Proj_Z_Var
gender,M,F,1.465,-0.228,-1.693,1.237,0.837,0.0178,14.6406,0.0376
race_ethnicity,Black/African American,White,1.216,0.039,-1.177,1.176,0.837,0.0178,14.6406,0.0376
race_ethnicity,Black/African American,Hispanic/Latino,-1.463,0.022,1.485,1.442,0.837,0.0178,14.6406,0.0376
race_ethnicity,Black/African American,Two or more races/Other,0.175,-0.024,-0.19899999999999998,0.152,0.837,0.0178,14.6406,0.0376
race_ethnicity,Black/African American,Asian/Pacific Islander,4.414,-0.135,-4.5489999999999995,4.279,0.837,0.0178,14.6406,0.0376
race_ethnicity,Black/African American,American Indian/Alaskan Native,0.062,0.047,-0.015,0.014,0.837,0.0178,14.6406,0.0376
ell_status,No,Yes,-3.863,-0.204,3.659,3.66,0.837,0.0178,14.6406,0.0376
ell_status,No,,-3.699,-0.582,3.117,3.117,0.837,0.0178,14.6406,0.0376
economically_disadvantaged,Not economically disadvantaged,Economically disadvantaged,-10.402,-0.392,10.01,10.01,0.837,0.0178,14.6406,0.0376
student_disability_status,Not identified as having disability,Identified as having disability,-2.14,-0.106,2.0340000000000003,2.034,0.837,0.0178,14.6406,0.0376
