Category,Reference Group,Focal Group,Z-Score_Base,Z-Score_Proj,Z-Score_Diff,Abs_Z_Reduction,Base_QWK,Proj_QWK,Base_Z_Var,Proj_Z_Var
gender,M,F,1.465,0.01,-1.455,1.455,0.837,0.0578,14.6406,0.0689
race_ethnicity,Black/African American,White,1.216,0.169,-1.047,1.047,0.837,0.0578,14.6406,0.0689
race_ethnicity,Black/African American,Hispanic/Latino,-1.463,0.057,1.52,1.406,0.837,0.0578,14.6406,0.0689
race_ethnicity,Black/African American,Two or more races/Other,0.175,0.069,-0.10599999999999998,0.106,0.837,0.0578,14.6406,0.0689
race_ethnicity,Black/African American,Asian/Pacific Islander,4.414,-0.125,-4.539,4.289,0.837,0.0578,14.6406,0.0689
race_ethnicity,Black/African American,American Indian/Alaskan Native,0.062,0.119,0.056999999999999995,-0.058,0.837,0.0578,14.6406,0.0689
ell_status,No,Yes,-3.863,-0.414,3.449,3.449,0.837,0.0578,14.6406,0.0689
ell_status,No,,-3.699,-0.584,3.1149999999999998,3.115,0.837,0.0578,14.6406,0.0689
economically_disadvantaged,Not economically disadvantaged,Economically disadvantaged,-10.402,-0.515,9.886999999999999,9.887,0.837,0.0578,14.6406,0.0689
student_disability_status,Not identified as having disability,Identified as having disability,-2.14,-0.232,1.9080000000000001,1.908,0.837,0.0578,14.6406,0.0689
