Category,Reference Group,Focal Group,Z-Score_Base,Z-Score_Proj,Z-Score_Diff,Abs_Z_Reduction,Base_QWK,Proj_QWK,Base_Z_Var,Proj_Z_Var
gender,M,F,1.465,-0.097,-1.562,1.367,0.837,0.0429,14.6406,0.0404
race_ethnicity,Black/African American,White,1.216,0.063,-1.153,1.153,0.837,0.0429,14.6406,0.0404
race_ethnicity,Black/African American,Hispanic/Latino,-1.463,0.058,1.5210000000000001,1.405,0.837,0.0429,14.6406,0.0404
race_ethnicity,Black/African American,Two or more races/Other,0.175,0.044,-0.131,0.131,0.837,0.0429,14.6406,0.0404
race_ethnicity,Black/African American,Asian/Pacific Islander,4.414,-0.005,-4.419,4.41,0.837,0.0429,14.6406,0.0404
race_ethnicity,Black/African American,American Indian/Alaskan Native,0.062,0.04,-0.022,0.021,0.837,0.0429,14.6406,0.0404
ell_status,No,Yes,-3.863,-0.012,3.851,3.851,0.837,0.0429,14.6406,0.0404
ell_status,No,,-3.699,-0.58,3.1189999999999998,3.119,0.837,0.0429,14.6406,0.0404
economically_disadvantaged,Not economically disadvantaged,Economically disadvantaged,-10.402,-0.333,10.068999999999999,10.068,0.837,0.0429,14.6406,0.0404
student_disability_status,Not identified as having disability,Identified as having disability,-2.14,0.023,2.1630000000000003,2.117,0.837,0.0429,14.6406,0.0404
