prompt,attribute,simple_human_smd,weighted_human_smd,model_smd_pooled,amplification,reg_model_z,reg_coef_group,reg_se_group,reg_p_value,reg_n,p_value_bh,significant
"""A Cowboy Who Rode the Waves""",gender,0.2025,0.2025,0.1528,-0.0497,0.011,0.0047,0.034,0.891,684.0,0.0106,True
"""A Cowboy Who Rode the Waves""",ell_status,0.8659,0.7118,0.9954,0.2836,2.4715,0.1925,0.0294,0.0,683.0,0.0175,True
"""A Cowboy Who Rode the Waves""",economically_disadvantaged,0.3408,0.2972,0.4038,0.1066,0.2409,0.0987,0.0339,0.0037,684.0,0.0002,True
"""A Cowboy Who Rode the Waves""",student_disability_status,0.6289,0.6124,0.4773,-0.1351,-0.0807,-0.01,0.0321,0.7547,684.0,0.0034,True
Car-free cities,gender,0.289,0.2706,0.4077,0.1371,0.3274,0.1575,0.0329,0.0,976.0,0.0,True
Car-free cities,ell_status,1.083,0.9792,0.7697,-0.2095,-0.5407,-0.0643,0.0298,0.0308,976.0,0.0,True
Cell phones at school,gender,0.3385,0.3269,0.3512,0.0243,0.1648,0.0748,0.0344,0.03,827.0,0.0,True
Cell phones at school,ell_status,0.7489,0.6973,1.0467,0.3494,2.3132,0.2679,0.0277,0.0,827.0,0.0004,True
Cell phones at school,economically_disadvantaged,0.5576,0.5311,0.7161,0.185,0.4468,0.1958,0.0341,0.0,820.0,0.0,True
Cell phones at school,student_disability_status,1.0063,0.9431,1.0035,0.0604,0.8358,0.1388,0.0289,0.0,827.0,0.0,True
Community service,gender,0.3604,0.3741,0.3158,-0.0583,0.0142,0.0062,0.0343,0.8572,774.0,0.0,True
Community service,ell_status,0.8155,0.7385,0.9946,0.2561,1.5926,0.1772,0.0274,0.0,774.0,0.0001,True
Community service,economically_disadvantaged,0.4048,0.3992,0.4589,0.0597,0.2103,0.0896,0.0343,0.0091,761.0,0.0,True
Community service,student_disability_status,0.869,0.8676,1.0405,0.1729,1.5599,0.2346,0.0292,0.0,774.0,0.0,True
Distance learning,gender,0.1328,0.1657,0.1229,-0.0428,0.0284,0.0117,0.0339,0.7307,659.0,0.0397,False
Distance learning,ell_status,1.6304,1.6281,1.9072,0.2791,0.8543,0.2373,0.0347,0.0,659.0,0.0,True
Distance learning,economically_disadvantaged,0.9251,0.9251,0.9908,0.0657,0.2175,0.0736,0.0355,0.0384,659.0,0.0,True
Distance learning,student_disability_status,0.372,0.372,0.4231,0.0511,0.4899,0.1214,0.0347,0.0005,659.0,0.0008,True
Does the electoral college work?,gender,0.3293,0.3293,0.3972,0.0679,0.2377,0.1297,0.0783,0.0992,228.0,0.016,True
Driverless cars,gender,0.3558,0.3376,0.3829,0.0453,0.2001,0.0879,0.0429,0.0409,500.0,0.0003,True
Driverless cars,economically_disadvantaged,0.252,0.2126,0.6211,0.4085,2.1127,0.3235,0.0417,0.0,500.0,0.2675,False
Driverless cars,student_disability_status,0.6919,0.5791,0.5604,-0.0187,0.1723,0.0283,0.0506,0.5769,500.0,0.0139,True
Exploring Venus,gender,0.2548,0.2548,0.2932,0.0384,0.1909,0.1006,0.0368,0.0064,934.0,0.0002,True
Exploring Venus,ell_status,0.6905,0.5076,0.8073,0.2997,0.443,0.1571,0.0349,0.0,931.0,0.0,True
Exploring Venus,economically_disadvantaged,0.6037,0.6037,0.5675,-0.0362,0.1095,0.0531,0.0371,0.1531,934.0,0.0,True
Exploring Venus,student_disability_status,0.7519,0.7519,0.8315,0.0796,0.5049,0.2089,0.0356,0.0,934.0,0.0,True
Facial action coding system,gender,0.2407,0.2407,0.2623,0.0216,0.13,0.0635,0.0318,0.0458,1064.0,0.0001,True
Facial action coding system,ell_status,0.6248,0.5675,0.6762,0.1087,0.2848,0.0926,0.0304,0.0024,1047.0,0.0,True
Facial action coding system,economically_disadvantaged,0.5335,0.5335,0.5837,0.0502,0.2465,0.1078,0.0316,0.0007,1064.0,0.0,True
Facial action coding system,student_disability_status,0.7036,0.6447,0.7574,0.1127,0.3276,0.1299,0.0309,0.0,1064.0,0.0,True
Grades for extracurricular activities,gender,0.3753,0.3893,0.4052,0.0159,0.2351,0.098,0.0318,0.0022,811.0,0.0,True
Grades for extracurricular activities,ell_status,0.7265,0.6834,1.1044,0.421,2.4484,0.2814,0.0275,0.0,811.0,0.0001,True
Grades for extracurricular activities,economically_disadvantaged,0.5411,0.5364,0.6207,0.0843,0.2914,0.1174,0.0323,0.0003,799.0,0.0,True
Grades for extracurricular activities,student_disability_status,0.6599,0.6137,0.6143,0.0006,0.4487,0.064,0.0297,0.0317,811.0,0.0,True
Mandatory extracurricular activities,gender,0.3534,0.3627,0.4163,0.0536,0.2201,0.0955,0.0328,0.0037,831.0,0.0,True
Mandatory extracurricular activities,ell_status,1.0476,1.0017,1.0685,0.0668,0.5741,0.1097,0.0352,0.0019,831.0,0.0,True
Mandatory extracurricular activities,economically_disadvantaged,0.726,0.7201,0.8194,0.0993,0.4613,0.1646,0.0328,0.0,831.0,0.0,True
Mandatory extracurricular activities,student_disability_status,0.5248,0.5305,0.5294,-0.0011,0.2184,0.0605,0.0337,0.0731,831.0,0.0,True
Phones and driving,gender,0.1344,0.1236,0.2098,0.0862,,,,,,0.2037,False
Summer projects,gender,0.2836,0.2836,0.2636,-0.02,0.0415,0.0165,0.0285,0.5611,875.0,0.0001,True
Summer projects,ell_status,1.2589,1.0731,1.4014,0.3283,1.5567,0.1582,0.0277,0.0,875.0,0.0,True
Summer projects,economically_disadvantaged,0.4873,0.4873,0.5516,0.0643,0.2768,0.096,0.0292,0.001,875.0,0.0,True
Summer projects,student_disability_status,0.6188,0.6188,0.6175,-0.0013,0.4652,0.0877,0.0293,0.0028,875.0,0.0,True
The Face on Mars,gender,0.1364,0.1364,0.1601,0.0237,0.1346,0.0634,0.0367,0.0843,764.0,0.0658,False
The Face on Mars,ell_status,-0.0324,-0.1484,0.4073,0.2589,3.8262,0.2878,0.0336,0.0,759.0,0.658,False
The Face on Mars,economically_disadvantaged,0.3227,0.3227,0.3411,0.0184,0.1447,0.0679,0.0367,0.0647,764.0,0.0,True
The Face on Mars,student_disability_status,0.4309,0.3245,0.5156,0.1911,1.6527,0.173,0.0309,0.0,764.0,0.0925,False
