prompt,attribute,simple_human_smd,weighted_human_smd,model_smd_pooled,amplification,reg_model_z,reg_coef_group,reg_se_group,reg_p_value,reg_n,p_value_bh,significant
"""A Cowboy Who Rode the Waves""",gender,0.2708,0.2624,0.3579,0.0956,0.2547,0.1149,0.042,0.0064,527,0.0056,True
"""A Cowboy Who Rode the Waves""",ell_status,0.3222,0.3173,0.3584,0.0411,0.6086,0.0934,0.041,0.0232,527,0.1371,False
"""A Cowboy Who Rode the Waves""",economically_disadvantaged,0.1594,0.146,0.3099,0.1638,0.3411,0.1417,0.0421,0.0008,527,0.1352,False
"""A Cowboy Who Rode the Waves""",student_disability_status,0.1751,0.1691,0.4027,0.2336,0.7156,0.1989,0.0408,0.0,527,0.1531,False
"""A Cowboy Who Rode the Waves""",race_black_white,-0.0695,-0.0695,-0.0986,0.0291,-0.0859,-0.0376,0.0554,0.4977,300,0.5517,False
Driverless cars,gender,0.1973,0.1973,0.2464,0.0491,0.1535,0.0721,0.0191,0.0002,2668,0.0,True
Driverless cars,ell_status,-0.1193,-0.1193,-0.1702,0.0509,-0.2582,-0.0569,0.0192,0.003,2478,0.0744,False
Driverless cars,economically_disadvantaged,0.3801,0.3801,0.4247,0.0447,0.2122,0.0912,0.0191,0.0,2668,0.0,True
Driverless cars,student_disability_status,0.5671,0.5589,0.6405,0.0816,0.7569,0.1419,0.0184,0.0,2668,0.0,True
Driverless cars,race_black_white,0.1935,0.1935,0.2065,0.0129,0.0735,0.0345,0.0246,0.1605,1554,0.0004,True
Exploring Venus,gender,0.1511,0.1511,0.1596,0.0085,0.07,0.0362,0.028,0.1969,1463,0.007,True
Exploring Venus,ell_status,0.3106,0.288,0.492,0.2041,0.4206,0.1794,0.0267,0.0,1461,0.0,True
Exploring Venus,economically_disadvantaged,0.0495,0.0495,0.0388,-0.0106,-0.0147,-0.006,0.0282,0.8305,1463,0.4052,False
Exploring Venus,student_disability_status,0.5295,0.5107,0.6099,0.0992,0.3685,0.1645,0.0271,0.0,1463,0.0,True
Exploring Venus,race_black_white,-0.1634,-0.178,-0.0745,-0.1035,0.1517,0.0514,0.0451,0.2546,679,0.1244,False
Facial action coding system,gender,0.1391,0.1391,0.1684,0.0293,0.1101,0.0508,0.0267,0.0573,1837,0.0085,True
Facial action coding system,ell_status,0.5664,0.4452,0.8237,0.3785,2.4383,0.2861,0.0235,0.0,1816,0.0052,True
Facial action coding system,economically_disadvantaged,0.3389,0.3389,0.3568,0.0179,0.1463,0.0777,0.0265,0.0034,1837,0.0,True
Facial action coding system,student_disability_status,0.2251,0.2251,0.2717,0.0466,0.5916,0.0746,0.0245,0.0024,1837,0.126,False
Facial action coding system,race_black_white,0.4378,0.4378,0.4798,0.042,0.3274,0.0914,0.0308,0.0031,1139,0.0,True
The Face on Mars,gender,0.2635,0.2635,0.2965,0.033,0.158,0.0851,0.0383,0.0267,916,0.0002,True
The Face on Mars,ell_status,0.1111,0.1111,0.1432,0.032,0.1801,0.0597,0.0391,0.1269,909,0.2295,False
The Face on Mars,economically_disadvantaged,0.2164,0.2164,0.3644,0.148,0.317,0.159,0.0388,0.0,916,0.0031,True
The Face on Mars,student_disability_status,0.3912,0.3912,0.4404,0.0492,0.6169,0.1667,0.0373,0.0,916,0.0003,True
The Face on Mars,race_black_white,0.2337,0.2337,0.2617,0.0281,0.0868,0.0445,0.0476,0.3502,562,0.0117,True
