prompt,attribute,simple_human_smd,weighted_human_smd,model_smd_pooled,amplification,reg_model_z,reg_coef_group,reg_se_group,reg_p_value,reg_n,p_value_bh,significant
"""A Cowboy Who Rode the Waves""",gender,0.2025,0.2025,0.1526,-0.0499,0.0133,0.0057,0.0343,0.8684,684,0.0105,True
"""A Cowboy Who Rode the Waves""",ell_status,0.8659,0.7118,0.9828,0.271,2.6429,0.2073,0.0296,0.0,683,0.0176,True
"""A Cowboy Who Rode the Waves""",economically_disadvantaged,0.3408,0.2972,0.4032,0.1061,0.2419,0.0999,0.0341,0.0035,684,0.0002,True
"""A Cowboy Who Rode the Waves""",student_disability_status,0.6289,0.6124,0.4743,-0.1381,-0.0628,-0.0079,0.0326,0.8079,684,0.0033,True
"""A Cowboy Who Rode the Waves""",race_black_white,0.3776,0.3439,0.3994,0.0555,0.268,0.0794,0.0415,0.0563,449,0.0033,True
Car-free cities,gender,0.289,0.2706,0.4073,0.1367,0.3155,0.1556,0.0337,0.0,976,0.0,True
Car-free cities,ell_status,1.083,0.9792,0.7637,-0.2155,-0.3781,-0.0467,0.0309,0.1308,976,0.0,True
Car-free cities,race_black_white,0.483,0.475,0.4505,-0.0245,0.1596,0.0602,0.0426,0.1579,649,0.0,True
Cell phones at school,gender,0.3385,0.3269,0.3508,0.0239,0.1641,0.076,0.0351,0.0307,827,0.0,True
Cell phones at school,ell_status,0.7489,0.6973,1.0425,0.3452,2.403,0.2835,0.0282,0.0,827,0.0004,True
Cell phones at school,economically_disadvantaged,0.5576,0.5311,0.7153,0.1841,0.4526,0.2025,0.0348,0.0,820,0.0,True
Cell phones at school,student_disability_status,1.0063,0.9431,1.0009,0.0578,0.8517,0.1446,0.0296,0.0,827,0.0,True
Cell phones at school,race_black_white,0.4173,0.4173,0.7159,0.2986,0.9222,0.2918,0.04,0.0,538,0.0001,True
Community service,gender,0.3604,0.3741,0.3154,-0.0587,0.0617,0.0291,0.0372,0.435,774,0.0,True
Community service,ell_status,0.8155,0.7385,0.9897,0.2512,2.0031,0.2486,0.0306,0.0,774,0.0001,True
Community service,economically_disadvantaged,0.4048,0.3992,0.4583,0.0591,0.2577,0.1186,0.037,0.0014,761,0.0,True
Community service,student_disability_status,0.869,0.8676,1.0366,0.169,1.7836,0.2887,0.0314,0.0,774,0.0,True
Community service,race_black_white,0.5726,0.5726,0.655,0.0824,0.5338,0.1835,0.0449,0.0001,499,0.0,True
Distance learning,gender,0.1328,0.1657,0.1227,-0.043,-0.0201,-0.0092,0.0375,0.8072,659,0.0402,False
Distance learning,ell_status,1.6304,1.6281,1.9042,0.2761,1.4099,0.4165,0.0369,0.0,659,0.0,True
Distance learning,economically_disadvantaged,0.9251,0.9251,0.9892,0.0641,0.3655,0.1366,0.0392,0.0005,659,0.0,True
Distance learning,student_disability_status,0.372,0.372,0.4219,0.0499,0.3577,0.0965,0.0378,0.0109,659,0.0008,True
Distance learning,race_black_white,0.6354,0.6354,0.6396,0.0041,0.1722,0.0614,0.05,0.2196,343,0.0,True
Does the electoral college work?,gender,0.3293,0.3293,0.3955,0.0662,0.2377,0.1302,0.0786,0.0993,228,0.016,True
Driverless cars,gender,0.3558,0.3376,0.3821,0.0446,0.1832,0.0819,0.0436,0.0611,500,0.0003,True
Driverless cars,economically_disadvantaged,0.252,0.2126,0.6148,0.4022,2.1414,0.3363,0.0427,0.0,500,0.2708,False
Driverless cars,student_disability_status,0.6919,0.5791,0.5542,-0.025,0.1785,0.0301,0.0521,0.5634,500,0.0139,True
Driverless cars,race_black_white,0.1981,0.1014,0.2267,0.1253,0.1839,0.0785,0.0556,0.1589,274,0.4172,False
Exploring Venus,gender,0.2548,0.2548,0.2929,0.0381,0.1629,0.089,0.0382,0.0199,934,0.0002,True
Exploring Venus,ell_status,0.6905,0.5076,0.8063,0.2987,0.5292,0.1926,0.0358,0.0,931,0.0,True
Exploring Venus,economically_disadvantaged,0.6037,0.6037,0.5669,-0.0368,0.1282,0.0644,0.0385,0.0946,934,0.0,True
Exploring Venus,student_disability_status,0.7519,0.7519,0.8305,0.0786,0.4891,0.2085,0.0367,0.0,934,0.0,True
Exploring Venus,race_black_white,0.6627,0.6627,0.7036,0.0408,0.324,0.1342,0.0474,0.0048,562,0.0,True
Facial action coding system,gender,0.2407,0.2407,0.2621,0.0214,0.1161,0.0583,0.0326,0.0744,1064,0.0001,True
Facial action coding system,ell_status,0.6248,0.5675,0.6754,0.1079,0.414,0.1366,0.0308,0.0,1047,0.0,True
Facial action coding system,economically_disadvantaged,0.5335,0.5335,0.5831,0.0497,0.2856,0.128,0.0324,0.0001,1064,0.0,True
Facial action coding system,student_disability_status,0.7036,0.6447,0.7567,0.112,0.3165,0.1281,0.0315,0.0001,1064,0.0,True
Facial action coding system,race_black_white,0.6597,0.6597,0.7091,0.0494,0.338,0.1435,0.0415,0.0006,638,0.0,True
Grades for extracurricular activities,gender,0.3753,0.3893,0.4047,0.0154,0.2043,0.0934,0.0349,0.0076,811,0.0,True
Grades for extracurricular activities,ell_status,0.7265,0.6834,1.0982,0.4148,2.8377,0.3536,0.0298,0.0,811,0.0001,True
Grades for extracurricular activities,economically_disadvantaged,0.5411,0.5364,0.6199,0.0835,0.3463,0.1521,0.0352,0.0,799,0.0,True
Grades for extracurricular activities,student_disability_status,0.6599,0.6137,0.611,-0.0027,0.5228,0.0809,0.0323,0.0124,811,0.0,True
Grades for extracurricular activities,race_black_white,0.5067,0.4148,0.6685,0.2537,0.6136,0.2096,0.0427,0.0,539,0.0001,True
Mandatory extracurricular activities,gender,0.3534,0.3627,0.4158,0.0531,0.2379,0.111,0.0353,0.0017,831,0.0,True
Mandatory extracurricular activities,ell_status,1.0476,1.0017,1.0638,0.0621,0.9408,0.1901,0.0372,0.0,831,0.0,True
Mandatory extracurricular activities,economically_disadvantaged,0.726,0.7201,0.8183,0.0982,0.5432,0.2088,0.0354,0.0,831,0.0,True
Mandatory extracurricular activities,student_disability_status,0.5248,0.5305,0.5282,-0.0023,0.254,0.0757,0.0363,0.0372,831,0.0,True
Mandatory extracurricular activities,race_black_white,0.4928,0.479,0.4863,0.0073,0.1887,0.0736,0.047,0.1176,527,0.0,True
