Prompt,Ours QWK,Ref QWK,QWK Δ,Ours Acc,Ref Acc,Acc Δ,Ours Gender SMD,Ref Gender SMD,N (ours),N (ref)
"""A Cowboy Who Rode the Waves""",0.6957462594287128,0.755,-0.0593,0.6432748538011696,0.691,-0.0477,0.17059999704360962,-0.04,,682
Car-free cities,0.6550880626223092,0.796,-0.1409,0.45594262295081966,0.616,-0.1601,0.34279999136924744,-0.087,,973
Cell phones at school,0.7247573699734792,0.8,-0.0752,0.6396614268440145,0.717,-0.0773,0.3635999858379364,-0.021,,824
Community service,0.7224438210905952,0.8,-0.0776,0.5981912144702842,0.693,-0.0948,0.32420000433921814,-0.109,,773
Distance learning,0.8054445335112178,0.875,-0.0696,0.5660091047040972,0.697,-0.131,0.13050000369548798,0.042,,656
Does the electoral college work?,0.81129236140372,0.863,-0.0517,0.5701754385964912,0.649,-0.0788,0.37940001487731934,-0.011,,228
Driverless cars,0.7188489458645455,0.774,-0.0552,0.626,0.621,0.005,0.39809998869895935,0.215,,496
Exploring Venus,0.8047795775064777,0.856,-0.0512,0.576017130620985,0.677,-0.101,0.295199990272522,0.003,,923
Facial action coding system,0.8087886965436784,0.865,-0.0562,0.5864661654135338,0.696,-0.1095,0.22840000689029696,-0.116,,1062
Grades for extracurricular activities,0.7055042850826443,0.779,-0.0735,0.5684340320591862,0.699,-0.1306,0.4047000110149383,-0.025,,808
Mandatory extracurricular activities,0.7534576846523622,0.815,-0.0615,0.5716004813477737,0.659,-0.0874,0.38940000534057617,0.163,,824
Phones and driving,0.6975909698499925,0.781,-0.0834,0.6102783725910065,0.683,-0.0727,0.2565999925136566,-0.066,,464
Seeking multiple opinions,0.6000000000000001,0.674,-0.074,0.5,0.429,0.071,,-0.312,,7
Summer projects,0.7032818936868597,0.813,-0.1097,0.5577142857142857,0.634,-0.0763,0.2775999903678894,-0.051,,872
The Face on Mars,0.7511838624578617,0.818,-0.0668,0.6191099476439791,0.658,-0.0389,0.14390000700950625,0.063,,764
OVERALL (macro avg),0.7305,0.864,-0.1335,0.5793,0.672,-0.0927,0.2932,-0.01,0,10356
